SampleID,AccX_ms2,AccY_ms2,AccZ_ms2,GyroX_dps,GyroY_dps,GyroZ_dps,MagX,MagY,MagZ
17047,10.86,2.88,-2.77,52.9,22.9,-93.9,113,-160,-1187
17048,10.93,2.59,-3.05,59.0,28.9,-108.9,133,-157,-1187
17049,11.20,2.32,-3.23,63.2,31.6,-115.4,178,-155,-1167
17050,12.04,2.48,-3.17,69.6,23.5,-113.0,203,-160,-1155
17051,12.60,2.29,-3.50,74.7,8.1,-109.8,232,-180,-1147
17052,12.55,1.88,-4.04,72.0,0.5,-108.2,272,-190,-1111
17053,11.38,1.29,-4.19,61.5,10.2,-103.3,300,-212,-1096
17054,9.79,0.67,-3.64,48.9,27.9,-96.4,317,-225,-1091
17055,8.32,0.32,-2.52,42.1,38.2,-90.0,353,-205,-1086
17056,7.21,-0.07,-1.77,43.8,38.1,-85.1,376,-215,-1061
17057,6.51,-0.50,-1.63,50.7,32.7,-83.8,393,-210,-1042
17058,6.39,-1.12,-1.53,56.1,22.8,-87.8,418,-220,-1027
17059,6.86,-1.41,-1.83,56.1,13.8,-91.0,445,-230,-1017
17060,7.15,-1.56,-2.40,50.9,6.6,-88.8,457,-240,-992
17061,7.21,-1.92,-2.79,41.0,5.5,-78.7,482,-265,-982
17062,7.80,-1.94,-2.54,28.2,10.4,-69.5,487,-275,-956
17063,8.41,-2.01,-2.28,16.5,14.7,-60.8,507,-287,-953
17064,8.61,-2.29,-2.46,4.2,15.1,-50.7,527,-282,-923
17065,8.99,-2.36,-2.87,-7.7,16.7,-42.5,546,-290,-923
17066,9.61,-2.31,-3.07,-17.5,15.4,-38.7,548,-285,-921
17067,10.49,-2.14,-2.98,-24.8,9.2,-37.7,578,-267,-916
17068,11.24,-1.89,-2.80,-32.6,3.4,-34.8,593,-260,-887
17069,11.84,-2.01,-3.13,-51.2,6.2,-18.8,638,-232,-845
17070,12.92,-1.39,-2.89,-56.7,6.7,-8.2,652,-222,-855
17071,14.32,-0.59,-2.27,-55.2,-7.0,-1.5,657,-210,-847
17072,15.29,-0.29,-2.08,-54.1,-25.1,5.5,657,-192,-850
17073,15.65,-0.42,-2.60,-62.7,-31.3,17.5,667,-175,-835
17074,15.52,-0.39,-3.19,-81.4,-23.0,38.0,675,-165,-822
17075,14.82,-0.26,-3.59,-101.3,-9.6,63.8,675,-145,-845
17076,13.74,-0.01,-3.31,-114.5,-5.8,86.1,660,-110,-862
17077,12.74,0.30,-2.62,-118.2,-18.1,102.5,652,-55,-870
17078,11.89,0.87,-1.77,-114.7,-45.0,112.7,633,-35,-896
17079,10.92,1.41,-1.21,-111.3,-79.0,117.6,606,-17,-923
17080,10.78,1.06,-0.57,-112.6,-90.2,134.2,598,0,-943
17081,9.85,0.73,-0.72,-114.4,-85.1,141.4,551,10,-971
17082,8.91,0.49,-0.97,-119.6,-71.9,137.1,500,12,-1000
17083,7.97,0.38,-0.91,-123.4,-57.3,131.8,472,17,-1025
17084,7.57,0.53,-0.59,-121.1,-50.7,129.0,452,42,-1050
17085,7.29,0.67,-0.37,-114.5,-51.6,124.7,398,57,-1066
17086,7.05,0.77,-0.17,-105.5,-52.5,118.7,366,52,-1096
17087,7.36,1.05,0.12,-93.2,-55.0,111.3,320,70,-1111
17088,8.25,1.60,0.22,-77.2,-64.5,103.8,295,52,-1123
17089,9.39,1.96,-0.04,-60.7,-72.7,95.6,245,25,-1140
17090,9.93,1.94,-0.94,-51.4,-62.1,83.6,220,42,-1142
